ST_CEN_CD,12_socioeconomic_scores,ST_NM
1,0.3767854713455724,Jammu & Kashmir
2,0.4819750628215624,Himachal Pradesh
3,0.40380639396925105,Punjab
4,0.4446087678841492,Chandigarh
5,0.4736734509413902,Uttarakhand
6,0.3952100356383643,Haryana
8,0.1418634900150974,Rajasthan
9,0.173785392461023,Uttar Pradesh
10,0.07331966708873748,Bihar
11,0.4164537455899781,Sikkim
12,0.2723555815073947,Arunanchal Pradesh
13,0.272200234892532,Nagaland
14,0.27508355524324496,Manipur
15,0.27881591714792936,Mizoram
16,0.14753376150280945,Tripura
17,0.2579563407698616,Meghalaya
18,0.17243812734991745,Assam
19,0.1853888297076655,West Bengal
20,0.10834746719563092,Jharkhand
21,0.15017428899306548,Odisha
22,0.1548636336535651,Chhattisgarh
23,0.13594409193456958,Madhya Pradesh
24,0.26048782940874815,Gujarat
28,0.32449343122151125,Andhra Pradesh
29,0.3148954267329635,Karnataka
30,0.42570493303652124,Goa
32,0.4956297071992852,Kerala
33,0.4856545064682828,Tamil Nadu
34,0.499533796848455,Puducherry
35,0.3668305084916146,Andaman & Nicobar Island
